x,y,depth,temperature,pressure
6799.263674999999,4265.87585,2645.8973749999996,104.82774,263.3837
6820.39465,4311.191049999999,2650.540025,104.9828,263.80606
6841.525750000001,4356.50635,2655.8307,105.16019,264.28577
6862.656750000001,4401.821775,2662.7011125,105.38953,264.91736
6883.7876,4447.137225,2669.7396,105.62769,265.57126
6904.918450000001,4492.45265,2677.8050375000003,105.89609,266.32584
6926.049325000001,4537.768075,2686.550575,106.18683,267.14517
6947.1801749999995,4583.083500000001,2707.870525,106.90785,269.15137
6968.31105,4628.398925,2716.6450499999996,107.20459,269.9751
6989.441900000001,4673.71435,2726.6156874999997,107.53825,270.90714
7010.572875,4719.029775,2740.5043625000003,107.99786,272.21643
7031.703974999999,4764.345225000001,2746.912425,108.21326,272.81601
7052.83495,4809.660524999999,2757.0817875000002,108.55083,273.77002
